Source,Title,Content,Section,Url,Date
La Jornada,Suma CFE 8 mil 500 MWh a su capacidad de generación   ,"Tamanzunchale, SLP., El gobierno federal concretó la transferencia de 13 plantas de energía eléctrica que pertenecían a Iberdrola al sector público, durante una ceremonia en esta ciudad durante la cual el secretario de Hacienda, Rogelio Ramírez de la O informó que con ello se sumó una capacidad de 8 mil 500 megavatios, con lo cual el sector público participará con la generación de 56 por ciento del mercado, mediante una operación de 6 mil 156 millones de dólares.",Economía,https://www.jornada.com.mx/2024/02/28/economia/025n1eco?partner=rss,28/02/2024
La Jornada,Enrique Galván Ochoa: Dinero ,"Claudia Sheinbaum apareció ayer en varios programas de la televisión comercial, en vísperas del arranque de su campaña, el próximo viernes a las 4 de la tarde en el Zócalo. La entrevistaron los mismos conductores que han desatado una implacable campaña de desprestigio contra el presidente López Obrador. Unos más, otros menos, trataron de forzarla para que hablara en su contra. Atrás de su aparente animosidad, quizá se preguntaban si les devolverá el chayote que perdieron este sexenio. Una pregunta recurrente: ¿pintará una distancia, una raya, cuando ya sea presidenta? Y otra: ¿será una calca de AMLO? Con mucha inteligencia libró Claudia las trampas. Ella representa el segundo piso de la Cuarta Transformación, dijo. Tiene su propia personalidad, orígenes y formación, distintos a los de López Obrador, pero pertenecen al mismo movimiento político y social. Las entrevistas, por otro lado, sirvieron para resaltar las diferencias con Xóchitl Gálvez: la candidata de Morena es seria, preparada, firme... ¡y no pega chicles bajo la silla!",Economía,https://www.jornada.com.mx/2024/02/28/opinion/006o1eco?partner=rss,28/02/2024
La Jornada,"México requiere mayor ingreso tributario para mantener la prudencia fiscal, destaca la OCDE   ","México tiene “un sólido historial en el logro de metas fiscales y en el mantenimiento de una deuda pública baja”; sin embargo, el país que menos recauda en la Organización para la Cooperación y el Desarrollo Económicos (OCDE), “necesita mayores ingresos tributarios para mantener la prudencia fiscal” y atender las diversas áreas de gasto como educación, infraestructura, así como lucha contra la corrupción y el crimen, advirtió la institución.",Economía,https://www.jornada.com.mx/2024/02/28/economia/024n2eco?partner=rss,28/02/2024
La Jornada,CFE revirtió pérdidas de 3 años; obtuvo las utilidades más altas en una década   ,"La Comisión Federal de Electricidad (CFE) obtuvo durante 2023 ganancias por 116 mil 469 millones de pesos, monto que superó las pérdidas por 15 mil millones 660 mil reportadas en 2022, de acuerdo con el informe del cuarto trimestre enviado por la empresa estatal a la Bolsa Mexicana de Valores (BMV).",Economía,https://www.jornada.com.mx/2024/02/28/economia/023n2eco?partner=rss,28/02/2024
La Jornada,"En 5 años, Pemex aportó al fisco 3.8 billones de pesos   ","Gracias a los apoyos del gobierno del presidente Andrés Manuel López Obrador, Petróleos Mexicanos (Pemex) obtuvo en 2023 ganancias por 109 mil 920 millones de pesos, con lo que sumó dos años con resultados positivos, de acuerdo con información enviada por la empresa estatal a la Bolsa Mexicana de Valores (BMV). Además, en los últimos cinco años, la petrolera ha aportado a las finanzas públicas un total de 3 billones 802 mil millones de pesos.",Economía,https://www.jornada.com.mx/2024/02/28/economia/023n1eco?partner=rss,28/02/2024
La Jornada,"Moody’s carece de seriedad, usa escenarios inventados, acusa Romero   ","Ante la reducción de la nota crediticia de Petróleos Mexicanos (Pemex) por parte de Moody’s, Octavio Romero Oropeza, director de la empresa estatal, acusó a la calificadora de una “vulgar pretensión” para incrementar la tasa de interés y consideró que la agencia carece de seriedad.",Economía,https://www.jornada.com.mx/2024/02/28/economia/023n3eco?partner=rss,28/02/2024
La Jornada,En enero crecieron 14.2% quejas contra despachos de cobranza   ,"En el primer mes del año, marcado por la llamada “cuesta de enero”, los usuarios de servicios financieros levantaron mil 732 reclamaciones contra las gestiones de cobranza de los bancos, demuestran cifras oficiales de la Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros (Condusef).",Economía,https://www.jornada.com.mx/2024/02/28/economia/027n1eco?partner=rss,28/02/2024
La Jornada,Carlos Fernández-Vega: México SA   ,"Contra viento y marea (feroz campaña negra en su contra y zancadillas judiciales y mediáticas por doquier), las dos empresas más importantes del Estado, Petróleos Mexicanos (Pemex) y la Comisión Federal de Electricidad (CFE), cerraron 2023 con excelentes resultados financieros, al reportar, entre ambas, utilidades por alrededor de 225 mil millones de pesos.",Economía,https://www.jornada.com.mx/2024/02/28/opinion/026o1eco?partner=rss,28/02/2024
La Jornada,Reporta SAT quinto año consecutivo con mejor recaudación   ,"El Servicio de Administración Tributaria (SAT) logró por quinto año consecutivo mejorar su rentabilidad como captador de ingresos y cada vez ha resultado más productivo auditar las cuentas de contribuyentes de todo tipo, desde empresas que facturan más de mil 500 millones de pesos al año hasta causantes de regímenes generales.",Economía,https://www.jornada.com.mx/2024/02/28/economia/026n1eco?partner=rss,28/02/2024
La Jornada,Apuesta Bimbo a movilidad sustentable   ,"Con una flota de 7 mil 500 vehículos eléctricos o que usan combustible alterno al diésel o la gasolina, Bimbo, la empresa panificadora más grande del mundo apunta a la movilidad sustentable.",Economía,https://www.jornada.com.mx/2024/02/28/economia/027n3eco?partner=rss,28/02/2024
